id,last_name,credit_score,country,gender,age,years_customer,balance_euros,num_products,has_credit_card,is_active,salary_euros,retained
15634602.0,Hargrave,619.0,Switzerland,f,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,0.0
15647311.0,Hill,608.0,Austria,f,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,1.0
15619304.0,Onio,502.0,Switzerland,f,42.0,8.0,159660.8,3.0,1.0,0.0,113931.57,0.0
15701354.0,Boni,699.0,Switzerland,f,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,1.0
15737888.0,Mitchell,850.0,Austria,f,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,1.0
15574012.0,Chu,645.0,Austria,m,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,0.0
15592531.0,Bartlett,822.0,Switzerland,m,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,
15656148.0,Obinna,376.0,Germany,f,29.0,4.0,115046.74,4.0,1.0,0.0,119346.88,0.0
15792365.0,He,501.0,Switzerland,m,44.0,4.0,142051.07,2.0,0.0,1.0,74940.5,1.0
15592389.0,Hu,684.0,Switzerland,m,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,1.0
15767821.0,Bearce,528.0,Switzerland,m,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,1.0
15737173.0,Andrews,497.0,Austria,m,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,1.0
15632264.0,Kay,476.0,Switzerland,f,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,1.0
15691483.0,Chin,549.0,Switzerland,f,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,1.0
15600882.0,Scott,635.0,Austria,f,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,1.0
,Goforth,616.0,Germany,m,45.0,3.0,143129.41,2.0,0.0,1.0,64327.26,1.0
15737452.0,Romeo,653.0,Germany,m,58.0,1.0,132602.88,1.0,1.0,0.0,5097.67,0.0
15788218.0,Henderson,549.0,Austria,f,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,1.0
15661507.0,Muldrow,587.0,Austria,m,,6.0,0.0,1.0,0.0,0.0,158684.81,1.0
15568982.0,Hao,726.0,Switzerland,f,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,1.0
15577657.0,McDonald,732.0,Switzerland,m,41.0,8.0,0.0,2.0,1.0,1.0,170886.17,1.0
15597945.0,Dellucci,636.0,Austria,f,32.0,8.0,0.0,2.0,1.0,,138555.46,1.0
15699309.0,Gerasimov,510.0,Austria,f,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,0.0
15725737.0,Mosman,669.0,Switzerland,m,46.0,3.0,0.0,2.0,0.0,1.0,8487.75,1.0
15625047.0,Yen,846.0,Switzerland,,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,1.0
15738191.0,Maclean,577.0,Switzerland,m,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,1.0
15736816.0,Young,756.0,Germany,m,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,1.0
15700772.0,Nebechi,571.0,Switzerland,m,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,1.0
15728693.0,McWilliams,574.0,Germany,f,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,1.0
15656300.0,Lucciano,411.0,Switzerland,m,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,1.0
15589475.0,Azikiwe,591.0,Austria,f,39.0,3.0,0.0,3.0,1.0,0.0,140469.38,0.0
15706552.0,,533.0,Switzerland,m,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,1.0
15750181.0,Sanderson,553.0,Germany,m,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,1.0
15659428.0,Maggard,520.0,Austria,f,42.0,6.0,0.0,2.0,1.0,,34410.55,1.0
15732963.0,Clements,722.0,Austria,f,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,1.0
15794171.0,Lombardo,475.0,Switzerland,f,45.0,0.0,134264.04,1.0,1.0,0.0,,0.0
15788448.0,Watson,490.0,Austria,m,31.0,3.0,145260.23,1.0,0.0,1.0,,1.0
15729599.0,Lorenzo,804.0,Austria,m,33.0,7.0,76548.6,1.0,0.0,1.0,98453.45,1.0
15717426.0,Armstrong,850.0,Switzerland,m,36.0,7.0,0.0,1.0,1.0,1.0,40812.9,1.0
15585768.0,,582.0,Germany,m,41.0,6.0,70349.48,2.0,0.0,1.0,178074.04,1.0
15619360.0,Hsiao,472.0,Austria,m,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,1.0
15738148.0,Clarke,465.0,Switzerland,f,51.0,8.0,122522.32,1.0,0.0,0.0,181297.65,0.0
15687946.0,Osborne,556.0,Switzerland,f,61.0,2.0,117419.35,1.0,1.0,1.0,94153.83,1.0
,Lavine,834.0,Switzerland,f,49.0,2.0,131394.56,1.0,0.0,0.0,194365.76,0.0
15684171.0,Bianchi,660.0,Austria,f,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,1.0
15754849.0,Tyler,776.0,Germany,f,32.0,4.0,109421.13,2.0,1.0,1.0,126517.46,1.0
15602280.0,Martin,829.0,Germany,f,27.0,9.0,112045.67,1.0,1.0,1.0,119708.21,0.0
15771573.0,Okagbue,637.0,Germany,f,39.0,9.0,137843.8,1.0,,1.0,117622.8,0.0
15766205.0,Yin,550.0,Germany,m,38.0,2.0,103391.38,1.0,0.0,1.0,90878.13,1.0
15771873.0,Buccho,776.0,Germany,f,37.0,2.0,103769.22,2.0,1.0,0.0,194099.12,1.0
15616550.0,Chidiebele,698.0,Germany,m,44.0,10.0,116363.37,2.0,1.0,0.0,198059.16,1.0
15768193.0,Trevisani,585.0,Germany,m,36.0,5.0,146050.97,2.0,0.0,0.0,86424.57,1.0
15683553.0,O'Brien,788.0,Switzerland,f,33.0,5.0,0.0,2.0,0.0,0.0,116978.19,1.0
15702298.0,Parkhill,655.0,Germany,m,41.0,8.0,125561.97,1.0,0.0,0.0,164040.94,0.0
15569590.0,Yoo,601.0,Germany,m,42.0,1.0,98495.72,1.0,1.0,0.0,40014.76,0.0
15760861.0,Phillipps,619.0,Switzerland,m,43.0,1.0,125211.92,1.0,1.0,1.0,113410.49,1.0
15630053.0,Tsao,656.0,Switzerland,m,45.0,5.0,127864.4,1.0,1.0,0.0,87107.57,1.0
15647091.0,Endrizzi,725.0,Germany,m,19.0,0.0,75888.2,1.0,0.0,0.0,45613.75,1.0
15623944.0,T'ien,511.0,Austria,f,66.0,4.0,0.0,1.0,1.0,0.0,1643.11,0.0
15804771.0,Velazquez,614.0,Switzerland,m,51.0,4.0,40685.92,1.0,1.0,1.0,46775.28,1.0
15651280.0,Hunter,742.0,Germany,m,35.0,5.0,136857.0,1.0,,0.0,84509.57,1.0
15773469.0,Clark,687.0,,f,27.0,9.0,152328.88,2.0,0.0,0.0,126494.82,1.0
15702014.0,Jeffrey,555.0,Austria,m,33.0,1.0,56084.69,2.0,0.0,0.0,178798.13,1.0
15751208.0,Pirozzi,684.0,Austria,m,56.0,8.0,78707.16,1.0,1.0,1.0,99398.36,1.0
15592461.0,Jackson,603.0,Germany,m,26.0,4.0,109166.37,1.0,1.0,1.0,92840.67,1.0
15789484.0,Hammond,751.0,Germany,f,36.0,6.0,169831.46,2.0,1.0,1.0,27758.36,1.0
15696061.0,Brownless,581.0,Germany,f,34.0,1.0,101633.04,1.0,1.0,0.0,110431.51,1.0
15641582.0,Chibugo,735.0,Germany,m,43.0,10.0,123180.01,2.0,1.0,1.0,196673.28,1.0
15638424.0,Glauert,661.0,Germany,f,35.0,5.0,150725.53,2.0,0.0,1.0,113656.85,1.0
15755648.0,Pisano,675.0,Switzerland,f,21.0,8.0,98373.26,1.0,1.0,0.0,18203.0,1.0
15703793.0,Konovalova,738.0,Germany,m,58.0,2.0,133745.44,4.0,1.0,0.0,28373.86,0.0
15620344.0,McKee,813.0,Switzerland,m,29.0,6.0,0.0,1.0,1.0,0.0,33953.87,1.0
15812518.0,Palermo,657.0,Austria,f,37.0,0.0,163607.18,1.0,0.0,1.0,44203.55,1.0
15779052.0,Ballard,604.0,Germany,f,25.0,5.0,157780.84,2.0,1.0,1.0,58426.81,1.0
15770811.0,Wallace,519.0,Switzerland,m,36.0,9.0,0.0,2.0,0.0,1.0,145562.4,1.0
15780961.0,Cavenagh,735.0,Switzerland,f,21.0,1.0,178718.19,2.0,,0.0,22388.0,1.0
15614049.0,Hu,664.0,Switzerland,m,55.0,8.0,0.0,2.0,1.0,1.0,139161.64,1.0
15662085.0,Read,678.0,Switzerland,f,32.0,9.0,0.0,1.0,1.0,1.0,148210.64,1.0
15575185.0,Bushell,757.0,Austria,m,33.0,5.0,77253.22,1.0,0.0,1.0,194239.63,1.0
15803136.0,Postle,416.0,Germany,f,41.0,10.0,122189.66,2.0,1.0,0.0,98301.61,1.0
15706021.0,Buley,665.0,Switzerland,f,34.0,1.0,96645.54,2.0,0.0,0.0,171413.66,1.0
15663706.0,Leonard,777.0,Switzerland,f,32.0,2.0,0.0,1.0,1.0,0.0,136458.19,0.0
15641732.0,Mills,543.0,Switzerland,f,36.0,3.0,0.0,2.0,0.0,0.0,26019.59,1.0
15701164.0,Onyeorulu,,Switzerland,f,34.0,4.0,90307.62,1.0,1.0,1.0,159235.29,1.0
15738751.0,Beit,493.0,Switzerland,f,46.0,4.0,0.0,2.0,1.0,0.0,1907.66,1.0
15805254.0,Ndukaku,652.0,Austria,f,75.0,10.0,0.0,2.0,1.0,1.0,114675.75,1.0
15762418.0,Gant,750.0,Austria,m,22.0,3.0,121681.82,1.0,1.0,0.0,128643.35,0.0
15625759.0,Rowley,729.0,Switzerland,m,30.0,9.0,0.0,2.0,1.0,0.0,151869.35,1.0
15622897.0,Sharpe,646.0,Switzerland,f,46.0,4.0,0.0,3.0,1.0,0.0,93251.42,0.0
15767954.0,Osborne,635.0,Germany,f,28.0,3.0,81623.67,2.0,1.0,1.0,156791.36,1.0
15757535.0,Heap,647.0,Austria,f,44.0,5.0,0.0,3.0,1.0,1.0,174205.22,0.0
15731511.0,Ritchie,808.0,Switzerland,m,45.0,7.0,118626.55,2.0,1.0,0.0,147132.46,1.0
15809248.0,Cole,524.0,Switzerland,f,36.0,10.0,0.0,2.0,1.0,0.0,109614.57,1.0
15640635.0,Capon,769.0,Switzerland,m,29.0,8.0,0.0,2.0,1.0,1.0,172290.61,1.0
15676966.0,Capon,730.0,Austria,m,42.0,4.0,0.0,2.0,0.0,1.0,85982.47,1.0
15699461.0,Fiorentini,515.0,Austria,m,35.0,10.0,176273.95,1.0,0.0,1.0,121277.78,1.0
15738721.0,Graham,773.0,Austria,m,41.0,9.0,102827.44,1.0,0.0,1.0,64595.25,1.0
15693683.0,Yuille,814.0,Germany,m,,8.0,97086.4,2.0,1.0,1.0,197276.13,1.0
15604348.0,Allard,710.0,Austria,m,22.0,8.0,0.0,2.0,0.0,0.0,99645.04,1.0
15633059.0,Fanucci,413.0,Switzerland,m,34.0,9.0,0.0,2.0,0.0,0.0,6534.18,1.0
15808582.0,Fu,665.0,Switzerland,f,40.0,6.0,0.0,1.0,1.0,1.0,161848.03,1.0
15743192.0,Hung,623.0,Switzerland,f,44.0,6.0,0.0,2.0,0.0,0.0,167162.43,1.0
15580146.0,Hung,738.0,Switzerland,m,31.0,9.0,82674.15,1.0,1.0,0.0,41970.72,1.0
15776605.0,Bradley,528.0,Austria,m,36.0,7.0,0.0,2.0,1.0,0.0,60536.56,1.0
15804919.0,Dunbabin,670.0,Austria,f,65.0,1.0,0.0,1.0,1.0,1.0,177655.68,0.0
15613854.0,Mauldon,622.0,Austria,f,46.0,4.0,107073.27,2.0,1.0,1.0,30984.59,0.0
